Id,LotArea,LotShape,LandContour,Utilities,LotConfig,Slope,DwellClass,OverallQuality,OverallCondition,YearBuilt,ExteriorCondition,BasementCondition,TotalBSF,CentralAir,LowQualFinSF,LivingArea,FullBath,HalfBath,BedroomAbvGr,KitchenQuality,KitchenAbvGr,TotalRmsAbvGrd,Fireplaces,GarageType,GarageCars,PavedDrive,PoolArea,OpenPorchSF,MoSold,YrSold,SalePrice
430,11457,3,Lvl,AllPub,Corner,Gtl,1Fam,6,5,1988,TA,TA,1392,Y,0,1412,2,0,3,Gd,1,6,1,Attchd,2,Y,0,0,3,2009,175000
432,5586,3,Bnk,AllPub,Inside,Gtl,1Fam,6,7,1920,TA,TA,901,Y,0,1198,1,0,4,TA,1,7,0,NA,0,N,0,98,9,2008,79900
434,10839,3,Lvl,AllPub,Corner,Gtl,1Fam,6,5,1997,TA,TA,926,Y,0,1604,2,1,3,TA,1,7,1,Attchd,2,Y,0,36,7,2008,181000
447,16492,3,Lvl,AllPub,Corner,Gtl,1Fam,6,6,,TA,TA,1517,Y,0,1888,2,1,2,Gd,1,6,1,Attchd,2,Y,0,0,6,2010,190000
448,11214,3,Lvl,AllPub,Corner,Gtl,1Fam,7,5,1998,TA,TA,930,Y,0,1886,2,1,4,Gd,1,10,1,Attchd,2,Y,0,0,7,2006,199900
452,70761,3,Low,AllPub,Inside,Mod,1Fam,7,5,1975,TA,TA,1533,Y,0,1533,2,0,2,Gd,1,5,2,Attchd,2,Y,0,54,12,2006,280000
453,9303,3,Lvl,AllPub,Corner,Gtl,1Fam,6,5,1996,TA,TA,872,Y,0,1756,2,1,3,TA,1,7,0,Attchd,2,Y,0,122,7,2007,204000
458,53227,3,Low,AllPub,CulDSac,Mod,1Fam,4,6,1954,TA,TA,1364,Y,0,1663,1,0,2,Gd,1,6,2,Attchd,2,Y,0,137,3,2008,256000
460,7015,3,Bnk,AllPub,Corner,Gtl,1Fam,5,4,1950,TA,TA,709,Y,0,1203,1,0,3,Gd,1,5,1,Detchd,1,Y,0,0,7,2009,110000
461,8004,3,Lvl,AllPub,Inside,Gtl,1Fam,8,5,2009,TA,TA,832,Y,0,1935,2,1,3,TA,1,8,0,BuiltIn,2,Y,0,150,12,2009,263435
463,8281,3,Lvl,AllPub,Inside,Gtl,1Fam,5,5,1965,TA,TA,864,Y,0,864,1,0,3,TA,1,5,1,Detchd,1,Y,0,0,12,2009,62383
464,11988,3,HLS,AllPub,Inside,Mod,1Fam,6,7,1934,TA,TA,715,Y,0,1660,1,1,3,TA,1,6,1,Detchd,1,Y,0,0,8,2008,188700
469,11428,3,Lvl,AllPub,Inside,Gtl,1Fam,8,5,2006,TA,TA,1626,Y,0,1634,2,0,3,Gd,1,7,1,Attchd,3,Y,0,44,5,2007,250000
470,9291,3,Lvl,AllPub,Corner,Gtl,1Fam,6,5,1993,TA,TA,832,Y,0,1710,2,1,3,Gd,1,7,0,Attchd,2,Y,0,70,6,2008,187000
471,6820,3,Lvl,AllPub,Corner,Gtl,TwnhsE,8,5,1985,TA,TA,1488,Y,0,1502,1,1,1,Gd,1,4,0,Attchd,2,Y,0,54,6,2010,212000
474,14977,3,Lvl,AllPub,Inside,Gtl,1Fam,8,5,2006,TA,TA,1976,Y,0,1976,2,0,2,Gd,1,7,1,Attchd,3,Y,0,63,7,2007,440000
481,16033,3,Lvl,AllPub,FR2,Gtl,1Fam,9,5,2004,TA,TA,1833,Y,0,1850,2,0,3,Gd,1,8,1,Attchd,3,Y,0,112,3,2006,326000
482,11846,3,HLS,AllPub,Inside,Gtl,1Fam,9,5,2003,TA,TA,1792,Y,0,1792,2,0,2,Ex,1,6,1,Attchd,3,Y,0,49,8,2006,374000
485,7758,3,Lvl,AllPub,Corner,Gtl,1Fam,5,7,1962,Gd,TA,999,Y,0,999,1,0,3,Gd,1,6,0,Detchd,1,Y,0,132,3,2007,132500
488,12243,3,Lvl,AllPub,Inside,Gtl,1Fam,5,6,1971,TA,TA,1484,Y,0,1484,2,0,3,TA,1,7,1,Attchd,2,Y,0,0,2,2007,175000
493,15578,3,Lvl,AllPub,Corner,Gtl,1Fam,6,5,2006,TA,TA,728,Y,0,1456,2,1,3,TA,1,8,0,Attchd,2,Y,0,0,5,2006,172785
497,12692,3,Lvl,AllPub,Inside,Gtl,1Fam,8,5,1992,TA,TA,3200,Y,0,3228,3,0,4,Gd,1,10,1,Attchd,2,Y,0,75,5,2007,430000
500,7535,3,Lvl,AllPub,Inside,Gtl,1Fam,5,7,1958,TA,TA,912,Y,0,912,1,0,2,TA,1,5,0,Attchd,1,Y,0,285,6,2007,120000
504,15602,3,Lvl,AllPub,Inside,Gtl,1Fam,7,8,1959,TA,TA,1501,Y,0,1801,2,0,1,TA,1,6,2,Attchd,2,Y,0,54,3,2010,289000
507,9554,3,Lvl,AllPub,Inside,Gtl,1Fam,8,5,1993,TA,TA,777,Y,0,1911,2,1,3,Gd,1,8,1,Attchd,2,Y,0,81,9,2006,215000
508,7862,3,Lvl,AllPub,Inside,Gtl,1Fam,6,5,2009,TA,TA,1218,Y,0,1218,2,0,2,Gd,1,4,0,Attchd,2,Y,0,102,9,2009,208300
512,6792,3,Lvl,AllPub,Inside,Gtl,TwnhsE,7,5,2005,TA,TA,1368,Y,0,1368,2,0,2,Gd,1,6,1,Attchd,2,Y,0,35,3,2006,202665
517,10448,3,Lvl,AllPub,Corner,Gtl,1Fam,6,6,1972,TA,TA,689,Y,0,2119,2,1,3,TA,1,7,1,Attchd,2,Y,0,104,8,2009,158000
518,10208,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,1996,TA,TA,1264,Y,0,2344,2,1,3,Gd,1,7,1,Attchd,3,Y,0,0,7,2009,265000
519,9531,3,Lvl,AllPub,CulDSac,Gtl,1Fam,6,5,1998,TA,TA,794,Y,0,1796,2,1,3,TA,1,7,0,Attchd,2,Y,0,36,5,2007,211000
522,11988,3,Lvl,AllPub,Corner,Gtl,1Fam,6,6,1957,TA,TA,1244,Y,0,1244,1,1,3,TA,1,6,2,Attchd,1,Y,0,40,5,2007,150000
524,40094,3,Bnk,AllPub,Inside,Gtl,1Fam,10,5,2007,TA,TA,3138,Y,0,4676,3,1,3,Ex,1,11,1,BuiltIn,3,Y,0,406,10,2007,184750
525,11787,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,1996,TA,TA,1379,Y,0,2398,2,1,3,Gd,1,8,1,Attchd,3,Y,0,60,8,2007,315750
528,14948,3,Lvl,AllPub,Inside,Gtl,1Fam,9,5,2008,TA,TA,1452,Y,0,2713,2,1,3,Ex,1,11,1,Attchd,3,Y,0,66,11,2008,446261
529,9098,3,Lvl,AllPub,Inside,Gtl,1Fam,4,7,1920,TA,TA,528,Y,0,605,1,0,2,TA,1,5,0,NA,0,N,0,0,7,2007,86000
530,32668,3,Lvl,AllPub,CulDSac,Gtl,1Fam,6,3,1957,TA,TA,2035,Y,0,2515,3,0,4,TA,2,9,2,Attchd,2,Y,0,0,3,2007,200624
532,6155,3,Lvl,AllPub,FR3,Gtl,1Fam,6,8,1920,TA,Fa,611,Y,0,1362,2,0,3,TA,1,6,0,Detchd,2,Y,0,0,6,2008,128000
535,9056,3,Lvl,AllPub,Inside,Gtl,1Fam,8,5,2004,TA,Gd,707,Y,0,1414,2,1,3,Gd,1,6,1,Attchd,2,Y,0,35,10,2006,178000
537,8924,3,Lvl,AllPub,CulDSac,Gtl,1Fam,7,5,1998,TA,TA,880,Y,0,1724,2,1,3,Gd,1,8,0,Attchd,2,Y,0,155,7,2008,188000
538,12735,3,Lvl,AllPub,FR2,Gtl,1Fam,4,5,1972,TA,TA,864,Y,0,864,1,0,3,TA,1,5,0,Detchd,2,Y,0,0,4,2008,111250
539,11553,3,Lvl,AllPub,Inside,Gtl,1Fam,5,5,1968,TA,TA,1051,Y,0,1159,1,1,3,TA,1,7,1,Attchd,1,Y,0,0,7,2006,158000
545,17104,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,2006,TA,Gd,654,Y,0,1496,2,1,3,Gd,1,7,1,Attchd,2,Y,0,24,9,2006,179665
546,13837,3,Lvl,AllPub,Corner,Gtl,1Fam,7,5,1988,Gd,Gd,1204,Y,0,2183,2,1,4,Gd,1,9,0,Attchd,3,Y,0,0,2,2006,229000
547,8737,3,Bnk,AllPub,Inside,Gtl,1Fam,6,7,1923,TA,TA,1065,Y,0,1635,1,1,3,TA,1,6,1,Detchd,2,Y,0,38,5,2007,210000
549,8235,3,HLS,AllPub,Inside,Gtl,1Fam,5,7,1955,Gd,TA,825,Y,0,825,1,0,2,TA,1,4,0,Detchd,2,Y,0,50,6,2008,125000
553,11146,3,Lvl,AllPub,Inside,Gtl,1Fam,8,5,2006,TA,TA,1709,Y,0,1717,2,0,3,Gd,1,7,1,Attchd,3,Y,0,39,7,2009,255500
557,14850,3,Lvl,AllPub,Inside,Gtl,1Fam,5,5,1957,TA,TA,1092,Y,0,1092,1,0,2,TA,1,6,1,Attchd,1,Y,0,0,5,2006,141000
561,11341,3,Lvl,AllPub,Inside,Gtl,1Fam,5,6,1957,TA,TA,1392,Y,0,1392,1,1,3,TA,1,5,1,Detchd,2,Y,0,0,5,2010,121500
565,13346,3,Lvl,AllPub,CulDSac,Gtl,1Fam,7,5,1992,TA,TA,1095,Y,0,2295,2,1,4,Gd,1,9,1,Attchd,2,Y,0,40,7,2006,268000
567,11198,3,Lvl,AllPub,Inside,Gtl,1Fam,9,5,2005,TA,Gd,1122,Y,0,2504,2,1,4,Ex,1,11,1,BuiltIn,3,Y,0,39,6,2008,325000
568,10171,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,2004,TA,TA,1517,Y,0,1535,2,0,3,Gd,1,7,0,Attchd,2,Y,0,0,3,2010,214000
569,12327,3,Low,AllPub,Inside,Mod,1Fam,8,8,1983,TA,TA,1496,Y,0,2132,1,1,1,Gd,1,5,1,BuiltIn,2,Y,0,40,9,2009,316600
570,7032,3,Lvl,AllPub,Corner,Gtl,Duplex,5,5,1979,TA,TA,943,Y,0,943,1,0,2,TA,1,4,2,Detchd,2,Y,0,0,12,2006,135960
571,13101,3,Lvl,AllPub,Inside,Gtl,Duplex,5,5,1965,TA,TA,1728,Y,0,1728,2,0,6,TA,2,10,0,Detchd,2,Y,0,0,11,2008,142600
573,13159,3,HLS,AllPub,Corner,Gtl,1Fam,7,5,2009,TA,TA,846,Y,0,1692,2,1,3,Gd,1,6,0,Attchd,2,Y,0,114,7,2009,224500
574,9967,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,2000,TA,TA,384,Y,0,1430,2,1,3,TA,1,8,1,BuiltIn,2,Y,0,0,12,2007,170000
578,11777,3,Lvl,AllPub,Inside,Gtl,1Fam,5,6,1966,TA,TA,1164,Y,0,1320,1,0,3,TA,1,6,2,Attchd,2,Y,0,68,5,2006,164500
581,14585,3,Lvl,AllPub,CulDSac,Gtl,1Fam,6,6,1960,TA,TA,1144,Y,0,1429,1,0,3,Gd,1,7,2,Attchd,2,Y,0,110,6,2007,181900
588,8740,3,Lvl,AllPub,Inside,Gtl,1Fam,5,6,1982,TA,TA,840,Y,0,860,1,0,2,TA,1,4,0,Detchd,2,Y,0,0,7,2009,137000
589,25095,3,Low,AllPub,Inside,Sev,1Fam,5,8,1968,TA,TA,1437,Y,0,1473,1,0,1,Ex,1,5,2,Attchd,1,Y,0,48,6,2009,143000
592,13478,3,Lvl,AllPub,Corner,Gtl,1Fam,10,5,2008,TA,TA,1722,Y,0,2296,2,1,3,Ex,1,10,1,BuiltIn,3,Y,0,274,6,2009,451950
595,7990,3,Lvl,AllPub,Inside,Gtl,1Fam,5,6,1975,TA,TA,924,Y,0,924,1,0,3,TA,1,5,0,Detchd,1,Y,0,0,4,2008,110000
596,11302,3,Lvl,AllPub,Inside,Gtl,1Fam,8,5,2005,TA,TA,1814,Y,0,1826,2,0,3,Gd,1,7,1,Attchd,3,Y,0,75,8,2006,319000
603,10041,3,Lvl,AllPub,Inside,Gtl,1Fam,8,5,1992,TA,TA,908,Y,0,1915,2,1,3,Gd,1,8,1,Attchd,2,Y,0,150,2,2006,220000
605,12803,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,2002,TA,TA,1494,Y,0,1494,2,0,3,Gd,1,6,1,Attchd,2,Y,0,36,9,2008,221000
612,10395,3,Lvl,AllPub,FR2,Gtl,1Fam,6,6,1978,TA,TA,1032,Y,0,1032,2,0,3,TA,1,6,1,Attchd,2,Y,0,0,7,2007,148000
617,7861,3,Lvl,AllPub,Inside,Gtl,1Fam,6,5,2002,TA,TA,783,Y,0,1509,2,1,3,Gd,1,7,1,Attchd,2,Y,0,75,6,2006,183200
626,10000,3,Lvl,AllPub,Corner,Gtl,1Fam,6,6,1962,TA,TA,1116,Y,0,1116,1,1,3,TA,1,5,0,Attchd,2,Y,0,0,2,2010,160000
627,12342,3,Lvl,AllPub,Inside,Gtl,1Fam,5,5,1960,TA,TA,978,Y,0,1422,1,0,3,TA,1,6,1,Attchd,1,Y,0,0,8,2007,139900
629,11606,3,HLS,AllPub,Inside,Sev,1Fam,5,5,1969,TA,TA,1040,Y,0,2080,1,2,5,Fa,1,9,2,Attchd,2,Y,0,0,9,2007,135000
641,12677,3,Lvl,AllPub,Inside,Gtl,TwnhsE,8,5,,TA,TA,1518,Y,0,1518,1,1,1,Ex,1,6,1,Attchd,2,Y,0,140,4,2008,274000
646,10530,3,Lvl,AllPub,Corner,Gtl,1Fam,6,5,1971,TA,TA,981,Y,0,981,1,1,3,TA,1,5,0,Detchd,2,Y,0,312,3,2007,143250
648,10452,3,Lvl,AllPub,Inside,Gtl,1Fam,6,5,1953,TA,TA,1094,Y,0,1094,1,0,3,TA,1,5,2,Attchd,2,Y,0,0,6,2008,155000
655,10437,3,Lvl,AllPub,Inside,Gtl,1Fam,8,6,1995,Gd,TA,2109,Y,0,2113,2,1,2,Gd,1,7,1,Attchd,3,Y,0,46,8,2008,350000
657,10007,3,Lvl,AllPub,Inside,Gtl,1Fam,5,7,1959,TA,TA,1053,Y,0,1053,1,1,3,Gd,1,5,0,Attchd,1,Y,0,0,8,2008,145500
666,11194,3,Lvl,AllPub,Corner,Gtl,1Fam,8,5,2000,TA,TA,1406,Y,0,1936,2,1,3,Gd,1,7,1,Attchd,2,Y,0,124,11,2006,230500
667,18450,3,Lvl,AllPub,Inside,Gtl,1Fam,6,5,1965,Gd,TA,1021,Y,0,2380,2,1,3,TA,1,7,1,CarPort,2,Y,0,265,8,2007,129000
673,11250,3,Lvl,AllPub,Inside,Gtl,1Fam,6,6,1977,TA,TA,1208,Y,0,1208,1,1,3,TA,1,6,1,Attchd,2,Y,0,42,6,2006,165000
679,11844,3,Lvl,AllPub,Inside,Gtl,1Fam,8,5,2008,TA,TA,2046,Y,0,2046,2,1,3,Gd,1,7,1,Attchd,3,Y,0,82,7,2009,372500
680,9945,3,Lvl,AllPub,Inside,Gtl,1Fam,5,5,1961,TA,TA,988,Y,0,988,1,0,3,TA,1,5,0,Detchd,2,Y,0,0,10,2007,128500
684,11248,3,Lvl,AllPub,Corner,Gtl,1Fam,9,5,2002,TA,TA,1626,Y,0,1668,2,0,3,Gd,1,7,1,Attchd,3,Y,0,45,7,2007,285000
686,5062,3,Lvl,AllPub,CulDSac,Gtl,TwnhsE,7,5,1984,TA,TA,1190,Y,0,2090,2,0,3,Gd,1,6,1,Attchd,2,Y,0,0,9,2007,207500
690,7577,3,Lvl,AllPub,Corner,Gtl,TwnhsE,6,5,2005,TA,TA,1362,Y,0,1362,2,0,2,Gd,1,6,1,Attchd,2,Y,0,28,6,2007,194700
692,21535,3,Lvl,AllPub,Corner,Gtl,1Fam,10,6,1994,TA,TA,2444,Y,0,4316,3,1,4,Ex,1,10,2,Attchd,3,Y,0,50,1,2007,755000
693,26178,3,Lvl,AllPub,Inside,Mod,1Fam,7,5,1989,TA,TA,1210,Y,0,2519,2,1,4,Gd,1,9,2,Attchd,2,Y,0,27,4,2006,335000
696,13811,3,Lvl,AllPub,Inside,Gtl,1Fam,6,6,1987,TA,Gd,1112,Y,0,1137,2,0,2,Gd,1,5,1,Attchd,2,Y,0,0,7,2006,176000
698,6420,3,Lvl,AllPub,Inside,Gtl,1Fam,5,7,1952,TA,Gd,980,Y,0,1148,1,0,2,TA,1,6,0,Detchd,1,Y,0,0,9,2006,123500
703,12438,3,Lvl,AllPub,Inside,Gtl,1Fam,8,5,2006,TA,Gd,1234,Y,0,2576,2,1,4,Ex,1,10,1,BuiltIn,3,Y,0,100,7,2006,361919
709,9018,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,2007,TA,TA,728,Y,0,1456,2,1,3,Gd,1,8,1,Attchd,2,Y,0,24,7,2007,179540
710,7162,3,Lvl,AllPub,Inside,Gtl,1Fam,5,7,1966,TA,TA,876,Y,0,904,1,0,3,TA,1,6,0,Attchd,1,Y,0,0,12,2008,109900
711,4130,3,Lvl,AllPub,Inside,Gtl,1Fam,3,6,1935,TA,TA,270,Y,0,,1,0,2,TA,1,5,0,NA,0,N,0,0,7,2008,52000
713,4671,3,HLS,AllPub,Inside,Gtl,TwnhsE,8,5,1988,TA,TA,1228,Y,0,1228,2,0,2,Gd,1,5,1,Attchd,2,Y,0,120,10,2008,189000
715,13517,3,Lvl,AllPub,CulDSac,Gtl,1Fam,6,8,1976,TA,TA,725,Y,0,1479,2,1,3,Gd,1,6,0,Attchd,2,Y,0,44,3,2010,130500
720,9920,3,Lvl,AllPub,Inside,Gtl,1Fam,5,6,1969,TA,TA,971,Y,0,971,1,1,3,TA,1,5,1,Attchd,1,Y,0,0,5,2006,128500
721,6563,3,Low,AllPub,CulDSac,Mod,1Fam,8,5,1985,TA,TA,1742,Y,0,1742,2,0,2,Gd,1,5,1,Attchd,2,Y,0,28,12,2006,275000
725,13286,3,Lvl,AllPub,Inside,Gtl,1Fam,9,5,2007,TA,TA,1698,Y,0,1698,2,0,3,Ex,1,8,1,Attchd,3,Y,0,64,2,2009,320000
727,21695,3,Lvl,AllPub,Corner,Gtl,1Fam,6,9,1988,Gd,TA,880,Y,0,1680,2,0,3,Gd,1,5,1,Attchd,2,Y,0,44,12,2009,222000
731,5389,3,Lvl,AllPub,Inside,Gtl,TwnhsE,8,5,1995,TA,TA,1595,Y,0,1616,2,0,2,Gd,1,5,1,Attchd,2,Y,0,152,3,2010,236500
732,9590,3,Lvl,AllPub,Corner,Gtl,1Fam,7,5,2003,TA,TA,868,Y,0,1146,2,0,3,Gd,1,6,1,Attchd,2,Y,0,22,5,2007,187500
733,11404,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,1998,TA,TA,1153,Y,0,2031,2,1,3,Gd,1,8,1,Attchd,2,Y,0,84,7,2008,222500
735,8978,3,Lvl,AllPub,Corner,Gtl,1Fam,5,5,1968,TA,TA,948,Y,0,948,1,0,3,TA,1,6,0,Attchd,1,Y,0,0,5,2007,108000
738,10463,3,HLS,AllPub,CulDSac,Gtl,1Fam,8,5,2005,TA,TA,893,Y,0,1801,2,1,3,Gd,1,8,1,Attchd,3,Y,0,116,6,2006,239900
740,9313,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,2004,TA,TA,864,Y,0,1728,2,1,3,Gd,1,7,0,Attchd,2,Y,0,56,4,2009,190000
742,6768,3,Lvl,AllPub,Inside,Gtl,1Fam,6,8,1961,Gd,TA,912,Y,0,912,1,0,3,Gd,1,5,0,Detchd,1,Y,0,0,5,2008,142000
744,12886,3,Lvl,AllPub,Inside,Gtl,1Fam,5,6,1963,TA,TA,520,Y,0,1464,2,0,3,TA,1,6,1,Attchd,2,Y,0,0,10,2009,175000
745,5395,3,HLS,AllPub,Inside,Gtl,TwnhsE,8,5,1993,TA,TA,1337,Y,0,1337,2,0,2,Gd,1,5,1,Attchd,2,Y,0,0,10,2008,180000
746,8963,3,Lvl,AllPub,Inside,Gtl,1Fam,8,9,1976,Gd,Gd,1142,Y,0,2715,3,1,4,Gd,1,11,2,BuiltIn,2,Y,0,204,7,2008,299800
747,8795,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,2000,TA,TA,952,Y,0,2256,2,1,4,Gd,1,8,1,BuiltIn,2,Y,0,54,4,2009,236000
748,11700,3,Lvl,AllPub,Corner,Gtl,1Fam,7,7,1880,TA,Fa,1240,N,0,2640,1,1,4,Gd,1,8,1,Detchd,4,N,0,0,5,2009,265979
749,10593,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,1996,TA,TA,1720,Y,0,1720,2,0,3,Gd,1,7,1,Attchd,2,Y,0,56,3,2010,260400
753,9236,3,Lvl,AllPub,Inside,Gtl,1Fam,6,5,1997,Gd,TA,1479,Y,0,1494,2,0,3,Gd,1,6,0,Attchd,2,Y,0,27,7,2006,217000
757,10769,3,Lvl,AllPub,Inside,Gtl,1Fam,8,5,2007,TA,TA,866,Y,0,1768,2,1,3,Gd,1,7,0,Attchd,2,Y,0,105,4,2009,212000
758,11616,3,Lvl,AllPub,CulDSac,Gtl,1Fam,6,5,1978,TA,TA,672,Y,0,1386,2,1,3,TA,1,6,1,Attchd,2,Y,0,0,4,2010,158900
760,12257,3,Lvl,AllPub,Inside,Gtl,1Fam,8,5,1995,TA,TA,1318,Y,0,2531,2,1,4,Gd,1,9,1,Attchd,3,Y,0,98,11,2007,290000
765,9549,3,Lvl,AllPub,CulDSac,Gtl,TwnhsE,8,5,1995,Gd,Gd,1494,Y,0,1494,1,1,2,Ex,1,6,1,Attchd,2,Y,0,30,4,2006,270000
766,14587,3,Lvl,AllPub,Inside,Gtl,1Fam,9,5,2008,TA,TA,1498,Y,0,1506,2,0,2,Ex,1,6,1,Attchd,2,Y,0,174,8,2008,264132
768,12508,3,Lvl,AllPub,Inside,Gtl,1Fam,6,7,1940,TA,TA,983,Y,0,1750,2,0,4,TA,1,7,0,Attchd,1,Y,0,0,7,2008,160000
771,7252,3,Lvl,AllPub,CulDSac,Gtl,1Fam,5,5,1982,TA,TA,858,Y,0,858,1,0,2,TA,1,5,0,Detchd,2,Y,0,0,4,2009,134900
777,11210,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,2005,TA,TA,1614,Y,0,1614,2,0,3,Gd,1,7,0,Attchd,3,Y,0,59,7,2006,221500
778,13350,3,Lvl,AllPub,Inside,Gtl,1Fam,5,5,1974,TA,TA,864,Y,0,894,1,0,3,TA,1,5,1,Attchd,2,Y,0,0,6,2006,142500
784,9101,3,Lvl,AllPub,Corner,Gtl,1Fam,5,6,1978,Gd,TA,1097,Y,0,1110,1,0,1,Gd,1,4,1,Attchd,2,Y,0,30,7,2009,165500
788,10142,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,2004,TA,TA,956,Y,0,2084,2,1,4,Gd,1,8,0,BuiltIn,2,Y,0,45,1,2010,233000
790,12205,3,Low,AllPub,Inside,Gtl,1Fam,6,8,1966,TA,Fa,832,Y,0,2087,2,1,5,Gd,1,9,0,Attchd,2,Y,0,168,7,2007,187500
792,11333,3,Lvl,AllPub,Corner,Gtl,1Fam,6,5,1976,TA,TA,1029,Y,0,1062,1,0,3,TA,1,5,2,Attchd,2,Y,0,0,5,2007,146800
793,9920,3,Lvl,AllPub,CulDSac,Gtl,1Fam,7,5,1996,TA,TA,1117,Y,0,2013,2,1,3,TA,1,8,1,Attchd,2,Y,0,130,6,2007,269790
795,10832,3,Lvl,AllPub,Corner,Gtl,1Fam,7,5,1994,TA,TA,712,Y,0,1895,2,1,3,Gd,1,7,1,Attchd,2,Y,0,46,10,2008,194500
801,12798,3,HLS,AllPub,Inside,Mod,1Fam,6,5,1997,TA,TA,616,Y,0,1688,2,1,4,Gd,1,8,0,Attchd,2,Y,0,114,5,2008,200000
806,12274,3,Lvl,AllPub,FR2,Gtl,1Fam,7,5,2008,TA,TA,1417,Y,0,1428,2,0,3,Ex,1,6,0,Attchd,2,Y,0,60,7,2008,227680
817,11425,3,Lvl,AllPub,Corner,Gtl,1Fam,5,6,1954,TA,TA,1008,Y,0,1008,1,0,2,TA,1,4,1,Attchd,1,Y,0,0,7,2006,137000
818,13265,3,Lvl,AllPub,CulDSac,Gtl,1Fam,8,5,2002,TA,TA,1568,Y,0,1689,2,0,3,Gd,1,7,2,Attchd,3,Y,0,59,7,2008,271000
820,6371,3,Lvl,AllPub,Inside,Gtl,TwnhsE,7,5,2009,TA,TA,1358,Y,0,1358,2,0,2,Gd,1,6,1,Attchd,2,Y,0,35,6,2010,224000
821,7226,3,Lvl,AllPub,CulDSac,Gtl,1Fam,7,5,2003,TA,TA,798,Y,0,1640,2,1,3,Gd,1,6,0,Attchd,2,Y,0,45,6,2008,183000
823,12394,3,Lvl,AllPub,Corner,Gtl,1Fam,7,5,2003,TA,TA,847,Y,0,1733,2,1,3,Gd,1,7,1,BuiltIn,2,Y,0,48,10,2007,225000
828,8529,3,Lvl,AllPub,Inside,Gtl,1Fam,7,5,2001,TA,TA,1454,Y,0,1434,2,0,3,Gd,1,6,1,Attchd,2,Y,0,39,4,2009,189000
831,11900,3,Lvl,AllPub,Corner,Gtl,1Fam,6,5,1957,TA,TA,1392,Y,0,1392,1,1,3,TA,1,6,2,Attchd,2,Y,0,0,6,2008,166000
833,9548,3,Lvl,AllPub,CulDSac,Gtl,1Fam,7,6,2003,TA,TA,941,Y,0,1829,2,1,3,Gd,1,7,1,Attchd,2,Y,0,39,1,2010,237000
841,12155,3,Lvl,AllPub,Inside,Gtl,1Fam,6,8,1925,TA,TA,672,N,0,1482,2,0,4,Fa,1,7,0,Detchd,1,P,0,0,3,2008,140000
845,12665,3,Lvl,AllPub,Inside,Gtl,1Fam,5,8,1915,TA,TA,876,Y,0,1416,1,1,4,TA,1,7,1,Detchd,3,Y,0,0,6,2008,153900
846,16647,3,Lvl,AllPub,CulDSac,Gtl,1Fam,5,5,1975,TA,TA,1390,Y,0,1701,2,0,3,TA,1,6,2,Basment,2,Y,0,0,1,2007,171000
848,15523,3,Lvl,AllPub,CulDSac,Gtl,1Fam,5,6,1972,TA,TA,864,Y,0,864,1,0,3,TA,1,5,1,Attchd,1,Y,0,0,8,2009,133500
854,12095,3,Lvl,AllPub,Corner,Gtl,1Fam,6,6,1964,Gd,TA,1127,Y,0,1445,1,1,3,TA,1,7,1,Attchd,2,Y,0,0,8,2009,158000
856,6897,3,Lvl,AllPub,Corner,Gtl,1Fam,5,8,1962,Gd,TA,1040,Y,0,1040,1,1,3,TA,1,6,0,Detchd,1,Y,0,104,4,2010,127000
857,10970,3,Low,AllPub,Inside,Mod,1Fam,6,6,1978,TA,Gd,940,Y,0,1026,1,0,3,TA,1,5,0,Detchd,2,Y,0,0,10,2008,147000
860,11029,3,Lvl,AllPub,Corner,Gtl,1Fam,6,7,1968,TA,TA,1054,Y,0,2654,2,1,4,Gd,1,9,1,Attchd,2,Y,0,65,8,2006,250000
866,8750,3,Lvl,AllPub,Inside,Gtl,1Fam,5,6,1970,TA,TA,1002,Y,0,1002,1,0,3,TA,1,5,0,Detchd,2,Y,0,0,8,2009,148500
867,10656,3,HLS,AllPub,Inside,Gtl,1Fam,8,5,2006,TA,TA,1638,Y,0,1646,2,0,3,Gd,1,6,1,Attchd,3,Y,0,80,11,2007,248900
879,11782,3,Lvl,AllPub,Inside,Gtl,1Fam,5,7,1961,TA,TA,1109,Y,0,1155,1,0,3,Gd,1,6,0,Detchd,2,Y,0,0,6,2010,148000
880,7000,3,Lvl,AllPub,CulDSac,Gtl,1Fam,5,8,1978,Gd,TA,864,Y,0,864,1,0,3,TA,1,6,0,Attchd,1,Y,0,0,7,2009,136500
882,13758,3,Lvl,AllPub,CulDSac,Gtl,1Fam,7,5,1990,Gd,TA,1156,Y,0,1717,2,1,3,Gd,1,7,1,Attchd,2,Y,0,36,4,2007,187500
